work_year,job_title,job_category,salary_in_usd,experience_level,company_location
2023,Head of Data,Leadership and Management,115000,Executive,Brazil
2023,Head of Data,Leadership and Management,110000,Executive,Brazil
2023,Decision Scientist,Data Science and Research,182500,Senior,United States
2023,Decision Scientist,Data Science and Research,135000,Senior,United States
2023,Business Data Analyst,Data Analysis,35000,Mid-level,United States
2023,Data Engineer,Data Engineering,146000,Executive,United States
2023,Data Engineer,Data Engineering,94000,Executive,United States
2023,AI Engineer,Machine Learning and AI,300000,Mid-level,Qatar
2023,Data Strategist,Data Architecture and Modeling,91000,Senior,United States
2023,Data Strategist,Data Architecture and Modeling,86000,Senior,United States
2023,Data Scientist,Data Science and Research,205500,Senior,United States
2023,Data Scientist,Data Science and Research,132500,Senior,United States
2023,Business Data Analyst,Data Analysis,180000,Senior,United States
2023,Analytics Engineer,Leadership and Management,97750,Senior,United States
2023,Analytics Engineer,Leadership and Management,75000,Senior,United States
2023,Research Scientist,Data Science and Research,252990,Entry-level,United States
2023,Research Scientist,Data Science and Research,162170,Entry-level,United States
2023,Applied Scientist,Data Science and Research,216000,Senior,United States
2023,Applied Scientist,Data Science and Research,184000,Senior,United States
2023,Data Engineer,Data Engineering,120000,Senior,United States
2023,Data Analyst,Data Analysis,67500,Entry-level,United States
2023,Data Engineer,Data Engineering,86128,Mid-level,Canada
2023,Data Engineer,Data Engineering,61520,Mid-level,Canada
2023,Data Scientist,Data Science and Research,140000,Mid-level,United States
2023,Data Scientist,Data Science and Research,265000,Senior,United States
2023,Data Scientist,Data Science and Research,153000,Senior,United States
2023,Data Analyst,Data Analysis,143000,Senior,United States
2023,Data Analyst,Data Analysis,126277,Senior,United States
2023,Data Engineer,Data Engineering,224500,Senior,United States
2023,Data Engineer,Data Engineering,126900,Senior,United States
2023,Applied Scientist,Data Science and Research,227700,Senior,United States
2023,Applied Scientist,Data Science and Research,154836,Senior,United States
2023,Data Analyst,Data Analysis,126000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,165000,Senior,United States
2023,Analytics Engineer,Leadership and Management,209000,Senior,United States
2023,Analytics Engineer,Leadership and Management,112500,Senior,United States
2023,Data Architect,Data Architecture and Modeling,110000,Mid-level,United States
2023,Data Scientist,Data Science and Research,370000,Senior,United States
2023,Data Analyst,Data Analysis,136000,Senior,United States
2023,Data Analyst,Data Analysis,104000,Senior,United States
2023,Applied Scientist,Data Science and Research,214000,Senior,United States
2023,Applied Scientist,Data Science and Research,154000,Senior,United States
2023,Data Scientist,Data Science and Research,205000,Senior,United States
2023,Data Scientist,Data Science and Research,157500,Senior,United States
2023,Data Engineer,Data Engineering,178000,Senior,United States
2023,Data Engineer,Data Engineering,109283,Senior,United States
2023,Research Scientist,Data Science and Research,189000,Senior,United States
2023,Research Scientist,Data Science and Research,137000,Senior,United States
2023,Data Analyst,Data Analysis,120000,Mid-level,United States
2023,Data Scientist,Data Science and Research,170500,Senior,Canada
2023,Data Scientist,Data Science and Research,118575,Senior,Canada
2022,Applied Machine Learning Scientist,Machine Learning and AI,97712,Mid-level,Netherlands
2023,AI Research Engineer,Data Science and Research,24940,Entry-level,Portugal
2023,Data Analyst,Data Analysis,154500,Senior,United States
2023,Data Analyst,Data Analysis,131325,Senior,United States
2023,Business Intelligence Engineer,BI and Visualization,140000,Senior,United States
2023,Business Intelligence Engineer,BI and Visualization,100000,Senior,United States
2023,Data Analyst,Data Analysis,138240,Senior,United States
2023,Data Scientist,Data Science and Research,207500,Senior,United States
2023,Data Scientist,Data Science and Research,172900,Senior,United States
2023,Data Scientist,Data Science and Research,254000,Senior,United States
2023,Data Modeler,Data Architecture and Modeling,147100,Senior,United States
2023,Data Modeler,Data Architecture and Modeling,90700,Senior,United States
2023,Data Analyst,Data Analysis,90000,Mid-level,United States
2023,Data Engineer,Data Engineering,168400,Senior,United States
2023,Data Engineer,Data Engineering,105200,Senior,United States
2023,Research Engineer,Data Science and Research,237000,Senior,United States
2023,Research Engineer,Data Science and Research,170112,Senior,United States
2023,Data Scientist,Data Science and Research,25912,Mid-level,Italy
2023,Data Scientist,Data Science and Research,134960,Senior,Netherlands
2023,Business Intelligence Engineer,BI and Visualization,155000,Senior,United States
2023,Business Intelligence Engineer,BI and Visualization,130000,Senior,United States
2023,BI Developer,BI and Visualization,105000,Senior,United States
2023,BI Developer,BI and Visualization,70000,Senior,United States
2023,ML Engineer,Machine Learning and AI,260000,Senior,United States
2023,ML Engineer,Machine Learning and AI,234000,Senior,United States
2023,AI Architect,Machine Learning and AI,330000,Senior,United States
2023,AI Architect,Machine Learning and AI,204000,Senior,United States
2023,Data Scientist,Data Science and Research,167310,Senior,United States
2023,Data Engineer,Data Engineering,121000,Senior,United States
2023,Data Strategist,Data Architecture and Modeling,175000,Senior,United States
2023,Data Strategist,Data Architecture and Modeling,125000,Senior,United States
2023,Machine Learning Scientist,Machine Learning and AI,325000,Senior,United States
2023,Machine Learning Scientist,Machine Learning and AI,171000,Senior,United States
2023,Data Science Consultant,Data Science and Research,180000,Senior,United States
2023,Data Science Consultant,Data Science and Research,137000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,155810,Mid-level,United States
2023,Machine Learning Engineer,Machine Learning and AI,106720,Mid-level,United States
